"verb","sentence"
"associated","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"supply","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"including","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"would","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"result","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"resulting","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"operate","due to the limited number of these suppliers, we are vulnerable to any problems associated with the performance of their obligation to supply key aircraft, parts and engines, including design defects, mechanical problems, contractual performance by suppliers, adverse perception by the public that would result in customer avoidance of any of our aircraft or any action by the faa or any other regulatory authority resulting in an inability to operate our aircraft, even temporarily."
"will","our business has been and will continue to be affected by many changing economic and other conditions beyond our control, including global events that affect travel behavior, and our results of operations could be volatile and fluctuate due to seasonality."
"continue","our business has been and will continue to be affected by many changing economic and other conditions beyond our control, including global events that affect travel behavior, and our results of operations could be volatile and fluctuate due to seasonality."
"changing","our business has been and will continue to be affected by many changing economic and other conditions beyond our control, including global events that affect travel behavior, and our results of operations could be volatile and fluctuate due to seasonality."
"including","our business has been and will continue to be affected by many changing economic and other conditions beyond our control, including global events that affect travel behavior, and our results of operations could be volatile and fluctuate due to seasonality."
"could","our business has been and will continue to be affected by many changing economic and other conditions beyond our control, including global events that affect travel behavior, and our results of operations could be volatile and fluctuate due to seasonality."
"will","our business, results of operations and financial condition have been and will continue to be affected by many changing economic and other conditions beyond our control, including, among others: ."
"continue","our business, results of operations and financial condition have been and will continue to be affected by many changing economic and other conditions beyond our control, including, among others: ."
"changing","our business, results of operations and financial condition have been and will continue to be affected by many changing economic and other conditions beyond our control, including, among others: ."
"including","our business, results of operations and financial condition have been and will continue to be affected by many changing economic and other conditions beyond our control, including, among others: ."
"NONE","actual or potential changes in international, national, regional and local economic, business and financial conditions, including recession, inflation, higher interest rates, wars, terrorist attacks and political instability; ."
"NONE","changes in consumer preferences, perceptions, spending patterns and demographic trends; ."
"NONE","changes in the competitive environment due to industry consolidation, changes in airline alliance affiliations, and other factors; ."
"NONE","actual or potential disruptions to the atc systems; ."
"NONE","increases in costs of safety, security, and environmental measures; ."
"including","weather and natural disasters, including increases in such disasters and related costs caused by more severe weather due to climate change."
"related","weather and natural disasters, including increases in such disasters and related costs caused by more severe weather due to climate change."
"become","in particular, an outbreak of a contagious disease such as the ebola virus, middle east respiratory syndrome, severe acute respiratory syndrome, h1n1 influenza virus, avian flu, zika virus or any other similar illness, if it were to become associated with air travel or persist for an extended period, could materially affect the airline industry and us by reducing revenues and adversely impacting our operations and passengers’ travel behavior."
"associated","in particular, an outbreak of a contagious disease such as the ebola virus, middle east respiratory syndrome, severe acute respiratory syndrome, h1n1 influenza virus, avian flu, zika virus or any other similar illness, if it were to become associated with air travel or persist for an extended period, could materially affect the airline industry and us by reducing revenues and adversely impacting our operations and passengers’ travel behavior."
"persist","in particular, an outbreak of a contagious disease such as the ebola virus, middle east respiratory syndrome, severe acute respiratory syndrome, h1n1 influenza virus, avian flu, zika virus or any other similar illness, if it were to become associated with air travel or persist for an extended period, could materially affect the airline industry and us by reducing revenues and adversely impacting our operations and passengers’ travel behavior."
"could","in particular, an outbreak of a contagious disease such as the ebola virus, middle east respiratory syndrome, severe acute respiratory syndrome, h1n1 influenza virus, avian flu, zika virus or any other similar illness, if it were to become associated with air travel or persist for an extended period, could materially affect the airline industry and us by reducing revenues and adversely impacting our operations and passengers’ travel behavior."
"reducing","in particular, an outbreak of a contagious disease such as the ebola virus, middle east respiratory syndrome, severe acute respiratory syndrome, h1n1 influenza virus, avian flu, zika virus or any other similar illness, if it were to become associated with air travel or persist for an extended period, could materially affect the airline industry and us by reducing revenues and adversely impacting our operations and passengers’ travel behavior."
"impacting","in particular, an outbreak of a contagious disease such as the ebola virus, middle east respiratory syndrome, severe acute respiratory syndrome, h1n1 influenza virus, avian flu, zika virus or any other similar illness, if it were to become associated with air travel or persist for an extended period, could materially affect the airline industry and us by reducing revenues and adversely impacting our operations and passengers’ travel behavior."
"could","as a result of these or other conditions beyond our control, our results of operations could be volatile and subject to rapid and unexpected change."
"NONE","in addition, due to generally weaker demand for air travel during the winter, our revenues in the first and fourth quarters of the year could be weaker than revenues in the second and third quarters of the year."
"increased","31a higher than normal number of pilot retirements, more stringent duty time regulations, increased flight hour requirement for commercial airline pilots, reductions in the number of military pilots entering the commercial workforce and other factors have caused a shortage of pilots that could materially adversely affect our business."
"entering","31a higher than normal number of pilot retirements, more stringent duty time regulations, increased flight hour requirement for commercial airline pilots, reductions in the number of military pilots entering the commercial workforce and other factors have caused a shortage of pilots that could materially adversely affect our business."
"could","31a higher than normal number of pilot retirements, more stringent duty time regulations, increased flight hour requirement for commercial airline pilots, reductions in the number of military pilots entering the commercial workforce and other factors have caused a shortage of pilots that could materially adversely affect our business."
"NONE","we currently have a higher than normal number of pilots eligible for retirement."
"NONE","large numbers of pilots in the industry are approaching the faa’s mandatory retirement age of 65.  our pilots and other employees are subject to rigorous certification standards, and our pilots and other crew members must adhere to flight time and rest requirements."
"NONE","commencing in 2013, the minimum flight hour requirement to achieve a commercial pilot’s license in the united states (an air transport pilot’s certificate) increased from 250 to 1,500 hours, thereby significantly increasing the time and cost commitment required to become licensed to fly commercial aircraft."
"NONE","additionally, the number of military pilots being trained by the u. s.  armed forces and available as commercial pilots upon their retirement from military service has been decreasing."
"NONE","these and other factors have contributed to a shortage of qualified, entry-level pilots and increased compensation costs, particularly for our regional subsidiaries and our other regional partners who are being required by market conditions to pay significantly increased wages and large signing bonuses to their pilots in an attempt to achieve desired staffing levels."
"led","the foregoing factors have also led to increased competition from large, mainline carriers attempting to meet their hiring needs."
"increased","the foregoing factors have also led to increased competition from large, mainline carriers attempting to meet their hiring needs."
"attempting","the foregoing factors have also led to increased competition from large, mainline carriers attempting to meet their hiring needs."
"meet","the foregoing factors have also led to increased competition from large, mainline carriers attempting to meet their hiring needs."
"NONE","we believe that this industry-wide pilot shortage is becoming an increasing problem for airlines in the united states."
"hire","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"meet","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"resulting","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"offered","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"increased","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"may","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"become","our regional partners have recently been unable to hire adequate numbers of pilots to meet their needs, resulting in a reduction in the number of flights offered, disruptions, increased costs of operations, financial difficulties and other adverse effects, and these circumstances may become more severe in the future and thereby cause a material adverse effect on our business."
"may","increases in insurance costs or reductions in insurance coverage may adversely impact our operations and financial results."
"led","the terrorist attacks of september 11, 2001 led to a significant increase in insurance premiums and a decrease in the insurance coverage available to commercial air carriers."
"NONE","accordingly, our insurance costs increased significantly, and our ability to continue to obtain insurance even at current prices remains uncertain."
"maintain","if we are unable to maintain adequate insurance coverage, our business could be materially and adversely affected."
"could","if we are unable to maintain adequate insurance coverage, our business could be materially and adversely affected."
"could","additionally, severe disruptions in the domestic and global financial markets could adversely impact the claims paying ability of some insurers."
"paying","additionally, severe disruptions in the domestic and global financial markets could adversely impact the claims paying ability of some insurers."
"could","future downgrades in the ratings of enough insurers could adversely impact both the availability of appropriate insurance coverage and its cost."
"pass","because of competitive pressures in our industry, our ability to pass along additional insurance costs to passengers is limited."
"could","as a result, further increases in insurance costs or reductions in available insurance coverage could have an adverse impact on our financial results."
"may","we may be a party to litigation in the normal course of business or otherwise, which could affect our financial position and liquidity."
"could","we may be a party to litigation in the normal course of business or otherwise, which could affect our financial position and liquidity."
"NONE","from time to time, we are a party to or otherwise involved in legal proceedings, claims and government inspections or investigations and other legal matters, both inside and outside the united states, arising in the ordinary course of our business or otherwise."
"NONE","we are currently involved in various legal proceedings and claims that have not yet been fully resolved, and additional claims may arise in the future."
"NONE","legal proceedings can be complex and take many months, or even years, to reach resolution, with the final outcome depending on a number of variables, some of which are not within our control."
"NONE","litigation is subject to significant uncertainty and may be expensive, time-consuming, and disruptive to our operations."
"will","although we will vigorously defend ourselves in such legal proceedings, their ultimate resolution and potential financial and other impacts on us are uncertain."
"defend","although we will vigorously defend ourselves in such legal proceedings, their ultimate resolution and potential financial and other impacts on us are uncertain."
"NONE","for these and other reasons, we may choose to settle legal proceedings and claims, regardless of their actual merit."
"resolved","if a legal proceeding is resolved against us, it could result in significant compensatory damages, and in certain circumstances punitive or trebled damages, disgorgement of revenue or profits, remedial corporate measures or injunctive relief imposed on us."
"could","if a legal proceeding is resolved against us, it could result in significant compensatory damages, and in certain circumstances punitive or trebled damages, disgorgement of revenue or profits, remedial corporate measures or injunctive relief imposed on us."
"result","if a legal proceeding is resolved against us, it could result in significant compensatory damages, and in certain circumstances punitive or trebled damages, disgorgement of revenue or profits, remedial corporate measures or injunctive relief imposed on us."
"imposed","if a legal proceeding is resolved against us, it could result in significant compensatory damages, and in certain circumstances punitive or trebled damages, disgorgement of revenue or profits, remedial corporate measures or injunctive relief imposed on us."
"existing","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"cover","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"awarded","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"taken","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"restrain","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"operate","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"market","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"could","if our existing insurance does not cover the amount or types of damages awarded, or if other resolution or actions taken as a result of the legal proceeding were to restrain our ability to operate or market our services, our consolidated financial position, results of operations or cash flows could be materially adversely affected."
"can","in addition, legal proceedings, and any adverse resolution thereof, can result in adverse publicity and damage to our reputation, which could adversely impact our business."
"result","in addition, legal proceedings, and any adverse resolution thereof, can result in adverse publicity and damage to our reputation, which could adversely impact our business."
"could","in addition, legal proceedings, and any adverse resolution thereof, can result in adverse publicity and damage to our reputation, which could adversely impact our business."
"NONE","additional information regarding certain legal matters in which we are involved can be found in part i, item 3.  legal proceedings."
"NONE","32our ability to utilize our nol carryforwards may be limited."
"NONE","under the internal revenue code of 1986, as amended (the code), a corporation is generally allowed a deduction for nols carried over from prior taxable years (nol carryforwards)."
"NONE","as of december 31, 2018, we had available nol carryforwards of approximately $10."
"NONE","2 billion for regular federal income tax purposes that will expire, if unused, beginning in 2022, and approximately $3."
"NONE","2 billion for state income tax purposes that will expire, if unused, between 2019 and 2038.  our nol carryforwards are subject to adjustment on audit by the internal revenue service and the respective state taxing authorities."
"NONE","a corporation’s ability to deduct its federal nol carryforwards and to utilize certain other available tax attributes can be substantially constrained under the general annual limitation rules of section 382 of the code (section 382) if it undergoes an “ownership change” as defined in section 382 (generally where cumulative stock ownership changes among material stockholders exceed 50 percent during a rolling three-year period)."
"NONE","we experienced an ownership change in connection with our emergence from the chapter 11 cases and us airways group experienced an ownership change in connection with the merger."
"NONE","the general limitation rules for a debtor in a bankruptcy case are liberalized where the ownership change occurs upon emergence from bankruptcy."
"NONE","we elected to be covered by certain special rules for federal income tax purposes that permitted approximately $9."
"NONE","0 billion (with $8."
"NONE","4 billion of unlimited nol still remaining at december 31, 2018) of our federal nol carryforwards to be utilized without regard to the annual limitation generally imposed by section 382.  if the special rules are determined not to apply, our ability to utilize such federal nol carryforwards may be subject to limitation."
"remaining","substantially all of our remaining federal nol carryforwards attributable to us airways group and its subsidiaries are subject to limitation under section 382 as a result of the merger; however, our ability to utilize such nol carryforwards is not anticipated to be effectively constrained as a result of such limitation."
"utilize","substantially all of our remaining federal nol carryforwards attributable to us airways group and its subsidiaries are subject to limitation under section 382 as a result of the merger; however, our ability to utilize such nol carryforwards is not anticipated to be effectively constrained as a result of such limitation."
"anticipated","substantially all of our remaining federal nol carryforwards attributable to us airways group and its subsidiaries are subject to limitation under section 382 as a result of the merger; however, our ability to utilize such nol carryforwards is not anticipated to be effectively constrained as a result of such limitation."
"constrained","substantially all of our remaining federal nol carryforwards attributable to us airways group and its subsidiaries are subject to limitation under section 382 as a result of the merger; however, our ability to utilize such nol carryforwards is not anticipated to be effectively constrained as a result of such limitation."
"NONE","similar limitations may apply for state income tax purposes."
"may","notwithstanding the foregoing, an ownership change subsequent to our emergence from the chapter 11 cases may severely limit or effectively eliminate our ability to utilize our nol carryforwards and other tax attributes."
"limit","notwithstanding the foregoing, an ownership change subsequent to our emergence from the chapter 11 cases may severely limit or effectively eliminate our ability to utilize our nol carryforwards and other tax attributes."
"eliminate","notwithstanding the foregoing, an ownership change subsequent to our emergence from the chapter 11 cases may severely limit or effectively eliminate our ability to utilize our nol carryforwards and other tax attributes."
"utilize","notwithstanding the foregoing, an ownership change subsequent to our emergence from the chapter 11 cases may severely limit or effectively eliminate our ability to utilize our nol carryforwards and other tax attributes."
"reduce","to reduce the risk of a potential adverse effect on our ability to utilize our nol carryforwards, our certificate of incorporation contains transfer restrictions applicable to certain substantial stockholders."
"utilize","to reduce the risk of a potential adverse effect on our ability to utilize our nol carryforwards, our certificate of incorporation contains transfer restrictions applicable to certain substantial stockholders."
"contains","to reduce the risk of a potential adverse effect on our ability to utilize our nol carryforwards, our certificate of incorporation contains transfer restrictions applicable to certain substantial stockholders."
"may","these restrictions may adversely affect the ability of certain holders of aag common stock to dispose of or acquire shares of aag common stock."
"dispose","these restrictions may adversely affect the ability of certain holders of aag common stock to dispose of or acquire shares of aag common stock."
"acquire","these restrictions may adversely affect the ability of certain holders of aag common stock to dispose of or acquire shares of aag common stock."
"NONE","although the purpose of these transfer restrictions is to prevent an ownership change from occurring, no assurance can be given that an ownership change will not occur even with these restrictions in place."
"use","our ability to use our nol carryforwards also will depend on the amount of taxable income generated in future periods."
"will","our ability to use our nol carryforwards also will depend on the amount of taxable income generated in future periods."
"depend","our ability to use our nol carryforwards also will depend on the amount of taxable income generated in future periods."
"may","the nol carryforwards may expire before we can generate sufficient taxable income to use them."
"expire","the nol carryforwards may expire before we can generate sufficient taxable income to use them."
"can","the nol carryforwards may expire before we can generate sufficient taxable income to use them."
"use","the nol carryforwards may expire before we can generate sufficient taxable income to use them."
"NONE","we have a significant amount of goodwill, which is assessed for impairment at least annually."
"NONE","in addition, we may never realize the full value of our intangible assets or long-lived assets, causing us to record material impairment charges."
"NONE","goodwill and indefinite-lived intangible assets are not amortized, but are assessed for impairment at least annually, or more frequently if conditions indicate that an impairment may have occurred."
"NONE","in accordance with applicable accounting standards, we first assess qualitative factors to determine whether it is necessary to perform a quantitative impairment test."
"NONE","in addition, we are required to assess certain of our other long-lived assets for impairment if conditions indicate that an impairment may have occurred."
"lived","future impairment of goodwill or other long-lived assets could be recorded in results of operations as a result of changes in assumptions, estimates, or circumstances, some of which are beyond our control."
"could","future impairment of goodwill or other long-lived assets could be recorded in results of operations as a result of changes in assumptions, estimates, or circumstances, some of which are beyond our control."
"recorded","future impairment of goodwill or other long-lived assets could be recorded in results of operations as a result of changes in assumptions, estimates, or circumstances, some of which are beyond our control."
"NONE","there can be no assurance that a material impairment charge of goodwill or tangible or intangible assets will be avoided."
"could","the value of our aircraft could be impacted in future periods by changes in supply and demand for these aircraft."
"NONE","such changes in supply and demand for certain aircraft types could result from grounding of aircraft by us or other airlines."
"could","an impairment charge could have a material adverse effect on our business, results of operations and financial condition."
"NONE","the price of aag common stock has recently been and may in the future be volatile."
"NONE","the market price of aag common stock has fluctuated in the past, and may fluctuate substantially in the future, due to a variety of factors, many of which are beyond our control, including: ."
"NONE","macro-economic conditions, including the price of fuel; ."
"NONE","changes in market values of airline companies as well as general market conditions; ."
"NONE","our operating and financial results failing to meet the expectations of securities analysts or investors;33 ."
"NONE","changes in financial estimates or recommendations by securities analysts; ."
"NONE","changes in our level of outstanding indebtedness and other obligations; ."
"NONE","changes in our credit rating; ."
"NONE","material announcements by us or our competitors; ."
"NONE","expectations regarding our capital deployment program, including any existing or potential future share repurchase programs and any future dividend payments that may be declared by our board of directors, or any determination to cease repurchasing stock or paying dividends; ."
"NONE","new regulatory pronouncements and changes in regulatory guidelines; ."
"NONE","general and industry-specific economic conditions; ."
"NONE","changes in our key personnel; ."
"NONE","distributions of shares of aag common stock pursuant to the plan, including distributions from the disputed claims reserve established under the plan; ."
"NONE","public sales of a substantial number of shares of aag common stock or issuances of aag common stock upon the exercise or conversion of restricted stock unit awards, stock appreciation rights, or other securities that may be issued from time to time; ."
"NONE","increases or decreases in reported holdings by insiders or other significant stockholders; and ."
"NONE","fluctuations in trading volume."
"NONE","we cannot guarantee that we will continue to repurchase our common stock or pay dividends on our common stock or that our capital deployment program will enhance long-term stockholder value."
"NONE","our capital deployment program could increase the volatility of the price of our common stock and diminish our cash reserves."
"NONE","since july 2014, as part of our capital deployment program, our board of directors has approved seven share repurchase programs aggregating $13."
"NONE","0 billion of authority."
"NONE","as of december 31, 2018, there was $1."
"NONE","7 billion remaining authority to repurchase shares under our share repurchase programs."
"NONE","share repurchases under our repurchase programs may be made through a variety of methods, which may include open market purchases, privately negotiated transactions, block trades or accelerated share repurchase transactions."
"NONE","these share repurchase programs do not obligate us to acquire any specific number of shares or to repurchase any specific number of shares for any fixed period, and may be suspended at any time at our discretion and without prior notice."
"NONE","the timing and amount of repurchases, if any, will be subject to market and economic conditions, applicable legal requirements and other relevant factors."
"NONE","our repurchase of aag common stock may be limited, suspended or discontinued at any time at our discretion and without prior notice."
"NONE","our board of directors commenced declaring quarterly cash dividends in july 2014 as part of our capital deployment program."
"NONE","however, any future dividends that may be declared and paid from time to time will be subject to market and economic conditions, applicable legal requirements and other relevant factors."
"NONE","we are not obligated to continue a dividend for any fixed period, and the payment of dividends may be suspended or discontinued at any time at our discretion and without prior notice."
"NONE","we will continue to retain future earnings to develop our business, as opportunities arise, and evaluate on a quarterly basis the amount and timing of future dividends based on our operating results, financial condition, capital requirements and general business conditions."
"NONE","the amount and timing of any future dividends may vary, and the payment of any dividend does not assure that we will pay dividends in the future."
"cease","in addition, any future repurchases of aag common stock or payment of dividends, or any determination to cease repurchasing stock or paying dividends, could affect our stock price and increase its volatility."
"repurchasing","in addition, any future repurchases of aag common stock or payment of dividends, or any determination to cease repurchasing stock or paying dividends, could affect our stock price and increase its volatility."
"paying","in addition, any future repurchases of aag common stock or payment of dividends, or any determination to cease repurchasing stock or paying dividends, could affect our stock price and increase its volatility."
"could","in addition, any future repurchases of aag common stock or payment of dividends, or any determination to cease repurchasing stock or paying dividends, could affect our stock price and increase its volatility."
"increase","in addition, any future repurchases of aag common stock or payment of dividends, or any determination to cease repurchasing stock or paying dividends, could affect our stock price and increase its volatility."
"could","the existence of a share repurchase program and any future dividends could cause our stock price to be higher than it would otherwise be and could potentially reduce the market liquidity for our stock."
"would","the existence of a share repurchase program and any future dividends could cause our stock price to be higher than it would otherwise be and could potentially reduce the market liquidity for our stock."
"could","the existence of a share repurchase program and any future dividends could cause our stock price to be higher than it would otherwise be and could potentially reduce the market liquidity for our stock."
"reduce","the existence of a share repurchase program and any future dividends could cause our stock price to be higher than it would otherwise be and could potentially reduce the market liquidity for our stock."
"will","additionally, any future repurchases of aag common stock or payment of dividends will diminish our cash reserves, which may impact our ability to finance future growth and to pursue possible future strategic opportunities and acquisitions."
"diminish","additionally, any future repurchases of aag common stock or payment of dividends will diminish our cash reserves, which may impact our ability to finance future growth and to pursue possible future strategic opportunities and acquisitions."
"may","additionally, any future repurchases of aag common stock or payment of dividends will diminish our cash reserves, which may impact our ability to finance future growth and to pursue possible future strategic opportunities and acquisitions."
"finance","additionally, any future repurchases of aag common stock or payment of dividends will diminish our cash reserves, which may impact our ability to finance future growth and to pursue possible future strategic opportunities and acquisitions."
"pursue","additionally, any future repurchases of aag common stock or payment of dividends will diminish our cash reserves, which may impact our ability to finance future growth and to pursue possible future strategic opportunities and acquisitions."
"NONE","further, our repurchase of aag common stock may fluctuate such that our cash flow may be insufficient to fully cover our share repurchases."
"intended","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"enhance","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"will","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"may","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"decline","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"repurchased","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"could","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"reduce","although our share repurchase programs are intended to enhance long-term stockholder value, there is no assurance that it will do so because the market price of our common stock may decline below the levels at which we repurchased shares of stock and short-term stock price fluctuations could reduce the program’s effectiveness."
"NONE","34certain provisions of aag’s certificate of incorporation and bylaws make it difficult for stockholders to change the composition of our board of directors and may discourage takeover attempts that some of our stockholders might consider beneficial."
"may","certain provisions of our certificate of incorporation and bylaws, as currently in effect, may have the effect of delaying or preventing changes in control if our board of directors determines that such changes in control are not in our best interest and the best interest of our stockholders."
"delaying","certain provisions of our certificate of incorporation and bylaws, as currently in effect, may have the effect of delaying or preventing changes in control if our board of directors determines that such changes in control are not in our best interest and the best interest of our stockholders."
"preventing","certain provisions of our certificate of incorporation and bylaws, as currently in effect, may have the effect of delaying or preventing changes in control if our board of directors determines that such changes in control are not in our best interest and the best interest of our stockholders."
"determines","certain provisions of our certificate of incorporation and bylaws, as currently in effect, may have the effect of delaying or preventing changes in control if our board of directors determines that such changes in control are not in our best interest and the best interest of our stockholders."
"NONE","these provisions include, among other things, the following: ."
"NONE","advance notice procedures for stockholder proposals to be considered at stockholders’ meetings; ."
"NONE","the ability of our board of directors to fill vacancies on the board; ."
"NONE","a prohibition against stockholders taking action by written consent; ."
"NONE","stockholders are restricted from calling a special meeting unless they hold at least 20% of our outstanding shares and follow the procedures provided for in the amended bylaws; ."
"entitled","a requirement that holders of at least 80% of the voting power of the shares entitled to vote in the election of directors approve any amendment of our bylaws submitted to stockholders for approval; and ."
"vote","a requirement that holders of at least 80% of the voting power of the shares entitled to vote in the election of directors approve any amendment of our bylaws submitted to stockholders for approval; and ."
"approve","a requirement that holders of at least 80% of the voting power of the shares entitled to vote in the election of directors approve any amendment of our bylaws submitted to stockholders for approval; and ."
"submitted","a requirement that holders of at least 80% of the voting power of the shares entitled to vote in the election of directors approve any amendment of our bylaws submitted to stockholders for approval; and ."
"NONE","super-majority voting requirements to modify or amend specified provisions of our certificate of incorporation."
